"Time","SR_saidaT","SR_Flow"
"0","200.618","280"
"0.01","200.618","280"
"0.02","200.618","280"
"0.03","200.618","280"
"0.04","200.618","280"
"0.05","200.618","280"
"0.06","200.618","280"
"0.07","200.618","280"
"0.08","200.618","280"
"0.09","200.618","280"
"0.1","200.618","280"
"0.11","200.618","280"
"0.12","200.618","280"
"0.13","200.618","280"
"0.14","200.618","280"
"0.15","200.618","280"
"0.16","200.618","280"
"0.17","200.618","280"
"0.18","200.618","280"
"0.19","200.618","280"
"0.2","200.618","280"
"0.21","200.618","280"
"0.22","200.618","280"
"0.23","200.618","280"
"0.24","200.618","280"
"0.25","200.618","280"
"0.26","200.618","280"
"0.27","200.618","280"
"0.28","200.618","280"
"0.29","200.618","280"
"0.3","200.618","280"
"0.31","200.618","280"
"0.32","200.618","280"
"0.33","200.618","280"
"0.34","200.618","280"
"0.35","200.618","280"
"0.36","200.618","280"
"0.37","200.618","280"
"0.38","200.618","280"
"0.39","200.618","280"
"0.4","200.618","280"
"0.41","200.618","280"
"0.42","200.618","280"
"0.43","200.618","280"
"0.44","200.618","280"
"0.45","200.618","280"
"0.46","200.618","280"
"0.47","200.618","280"
"0.48","200.618","280"
"0.49","200.618","280"
"0.5","200.618","280"
"0.51","200.618","280"
"0.52","200.618","280"
"0.53","200.618","280"
"0.54","200.618","280"
"0.55","200.618","280"
"0.56","200.618","280"
"0.57","200.618","280"
"0.58","200.618","280"
"0.59","200.618","280"
"0.6","200.618","280"
"0.61","200.618","280"
"0.62","200.618","280"
"0.63","200.618","280"
"0.64","200.618","280"
"0.65","200.618","280"
"0.66","200.618","280"
"0.67","200.618","280"
"0.68","200.618","280"
"0.69","200.618","280"
"0.7","200.618","280"
"0.71","200.618","280"
"0.72","200.618","280"
"0.73","200.618","280"
"0.74","200.618","280"
"0.75","200.618","280"
"0.76","200.618","280"
"0.77","200.618","280"
"0.78","200.618","280"
"0.79","200.618","280"
"0.8","200.618","280"
"0.81","200.618","280"
"0.82","200.618","280"
"0.83","200.618","280"
"0.84","200.618","280"
"0.85","200.618","280"
"0.86","200.618","280"
"0.87","200.618","280"
"0.88","200.618","280"
"0.89","200.618","280"
"0.9","200.618","280"
"0.91","200.618","280"
"0.92","200.618","280"
"0.93","200.618","280"
"0.94","200.618","280"
"0.95","200.618","280"
"0.96","200.618","280"
"0.97","200.618","280"
"0.98","200.618","280"
"0.99","200.618","280"
"1","200.618","280"
"1.01","200.618","280"
"1.02","200.618","280"
"1.03","200.618","280"
"1.04","200.618","280"
"1.05","200.618","280"
"1.06","200.618","280"
"1.07","200.618","280"
"1.08","200.618","280"
"1.09","200.618","280"
"1.1","200.618","280"
"1.11","200.618","280"
"1.12","200.618","280"
"1.13","200.618","280"
"1.14","200.618","280"
"1.15","200.618","280"
"1.16","200.618","280"
"1.17","200.618","280"
"1.18","200.618","280"
"1.19","200.618","280"
"1.2","200.618","280"
"1.21","200.618","280"
"1.22","200.618","280"
"1.23","200.618","280"
"1.24","200.618","280"
"1.25","200.618","280"
"1.26","200.618","280"
"1.27","200.618","280"
"1.28","200.618","280"
"1.29","200.618","280"
"1.3","200.618","280"
"1.31","200.618","280"
"1.32","213.727","280"
"1.33","213.727","280"
"1.34","213.727","280"
"1.35","213.727","280"
"1.36","213.727","280"
"1.37","213.727","280"
"1.38","213.727","280"
"1.39","213.727","280"
"1.4","213.727","280"
"1.41","213.727","280"
"1.42","213.727","280"
"1.43","213.727","280"
"1.44","213.727","280"
"1.45","213.727","280"
"1.46","213.727","280"
"1.47","213.727","280"
"1.48","213.727","280"
"1.49","213.727","280"
"1.5","213.727","280"
"1.51","213.727","280"
"1.52","213.727","280"
"1.53","213.727","280"
"1.54","213.727","280"
"1.55","213.727","280"
"1.56","213.727","280"
"1.57","213.727","280"
"1.58","213.727","280"
"1.59","213.727","280"
"1.6","213.727","280"
"1.61","213.727","280"
"1.62","213.727","280"
"1.63","213.727","280"
"1.64","213.727","280"
"1.65","213.727","280"
"1.66","213.727","280"
"1.67","213.727","280"
"1.68","213.727","280"
"1.69","213.727","280"
"1.7","213.727","280"
"1.71","213.727","280"
"1.72","213.727","280"
"1.73","213.727","280"
"1.74","213.727","280"
"1.75","213.727","280"
"1.76","213.727","280"
"1.77","213.727","280"
"1.78","213.727","280"
"1.79","213.727","280"
"1.8","213.727","280"
"1.81","213.727","280"
"1.82","213.727","280"
"1.83","213.727","280"
"1.84","213.727","280"
"1.85","213.727","280"
"1.86","213.727","280"
"1.87","213.727","280"
"1.88","213.727","280"
"1.89","213.727","280"
"1.9","213.727","280"
"1.91","213.727","280"
"1.92","213.727","280"
"1.93","213.727","280"
"1.94","213.727","280"
"1.95","213.727","280"
"1.96","213.727","280"
"1.97","213.727","280"
"1.98","213.727","280"
"1.99","213.727","280"
"2","213.727","280"
"2.01","213.727","280"
"2.02","213.727","280"
"2.03","213.727","280"
"2.04","213.727","280"
"2.05","213.727","280"
"2.06","213.727","280"
"2.07","213.727","280"
"2.08","213.727","280"
"2.09","213.727","280"
"2.1","213.727","280"
"2.11","213.727","280"
"2.12","213.727","280"
"2.13","213.727","280"
"2.14","213.727","280"
"2.15","213.727","280"
"2.16","213.727","280"
"2.17","213.727","280"
"2.18","213.727","280"
"2.19","213.727","280"
"2.2","213.727","280"
"2.21","213.727","280"
"2.22","213.727","280"
"2.23","213.727","280"
"2.24","213.727","280"
"2.25","213.727","280"
"2.26","213.727","280"
"2.27","213.727","280"
"2.28","213.727","280"
"2.29","213.727","280"
"2.3","213.727","280"
"2.31","213.727","280"
"2.32","213.727","280"
"2.33","213.727","280"
"2.34","213.727","280"
"2.35","213.727","280"
"2.36","213.727","280"
"2.37","213.727","280"
"2.38","213.727","280"
"2.39","213.727","280"
"2.4","213.727","280"
"2.41","213.727","280"
"2.42","213.727","280"
"2.43","213.727","280"
"2.44","213.727","280"
"2.45","213.727","280"
"2.46","213.727","280"
"2.47","213.727","280"
"2.48","213.727","280"
"2.49","213.727","280"
"2.5","213.727","280"
"2.51","213.727","280"
"2.52","213.727","280"
"2.53","213.727","280"
"2.54","213.727","280"
"2.55","213.727","280"
"2.56","213.727","280"
"2.57","213.727","280"
"2.58","213.727","280"
"2.59","213.727","280"
"2.6","213.727","280"
"2.61","213.727","280"
"2.62","213.727","280"
"2.63","213.727","280"
"2.64","213.727","280"
"2.65","213.727","280"
"2.66","213.727","280"
"2.67","213.727","280"
"2.68","213.727","280"
"2.69","213.727","280"
"2.7","213.727","280"
"2.71","213.727","280"
"2.72","213.727","280"
"2.73","213.727","280"
"2.74","213.727","280"
"2.75","213.727","280"
"2.76","213.727","280"
"2.77","213.727","280"
"2.78","213.727","280"
"2.79","213.727","280"
"2.8","213.727","280"
"2.81","213.727","280"
"2.82","213.727","280"
"2.83","213.727","280"
"2.84","213.727","280"
"2.85","213.727","280"
"2.86","213.727","280"
"2.87","213.727","280"
"2.88","213.727","280"
"2.89","213.727","280"
"2.9","213.727","280"
"2.91","213.727","280"
"2.92","213.727","280"
"2.93","213.727","280"
"2.94","213.727","280"
"2.95","213.727","280"
"2.96","213.727","280"
"2.97","213.727","280"
"2.98","213.727","280"
"2.99","213.727","280"
"3","213.727","280"
"3.01","213.727","280"
"3.02","213.727","280"
"3.03","213.727","280"
"3.04","213.727","280"
"3.05","213.727","280"
"3.06","213.727","280"
"3.07","213.727","280"
"3.08","213.727","280"
"3.09","213.727","280"
"3.1","213.727","280"
"3.11","213.727","280"
"3.12","213.727","280"
"3.13","213.727","280"
"3.14","213.727","280"
"3.15","213.727","280"
"3.16","213.727","280"
"3.17","213.727","280"
"3.18","213.727","280"
"3.19","213.727","280"
"3.2","213.727","280"
"3.21","213.727","280"
"3.22","213.727","280"
"3.23","213.727","280"
"3.24","213.727","280"
"3.25","213.727","280"
"3.26","213.727","280"
"3.27","213.727","280"
"3.28","213.727","280"
"3.29","213.727","280"
"3.3","213.727","280"
"3.31","213.727","280"
"3.32","213.727","280"
"3.33","213.727","280"
"3.34","213.727","280"
"3.35","213.727","280"
"3.36","213.727","280"
"3.37","213.727","280"
"3.38","213.727","280"
"3.39","213.727","280"
"3.4","213.727","280"
"3.41","213.727","280"
"3.42","213.727","280"
"3.43","213.727","280"
"3.44","213.727","280"
"3.45","213.727","280"
"3.46","213.727","280"
"3.47","213.727","280"
"3.48","213.727","280"
"3.49","213.727","280"
"3.5","213.727","280"
"3.51","213.727","280"
"3.52","213.727","280"
"3.53","213.727","280"
"3.54","213.727","280"
